orthologous_group_id	actual_sp_count
3B93W	160
3B93Y	160
3B940	161
3B94I	160
3B94R	160
3B94X	160
3B95E	160
3B95P	161
3B95S	160
3B95Z	160
3B96W	161
3B974	161
3B979	160
3B97H	160
3B97Q	160
3B984	160
3B985	160
3B98G	161
3B98N	160
3B98R	160
3B98V	161
3B98X	161
3B996	160
3B99D	160
3B99M	161
3B99X	161
3B9A4	160
3B9A7	161
3B9A9	160
3B9AQ	161
3B9AZ	161
3B9B3	161
3B9BW	160
3B9CQ	160
3B9DB	161
3B9DN	160
3B9DQ	160
3B9DY	161
3B9E2	161
3B9E7	160
3B9EG	160
3B9EI	161
3B9EM	161
3B9ER	160
3B9ET	160
3B9F0	160
3B9FW	161
3B9FX	160
3B9G4	160
3B9G8	161
3B9GF	161
3B9GI	160
3B9GP	160
3B9GQ	161
3B9H4	161
3B9HD	161
3B9HN	160
3B9HR	161
3B9HS	160
3B9HX	160
3B9I0	161
3B9I2	161
3B9I3	160
3B9IG	160
3B9IQ	160
3B9IR	160
3B9J1	161
3B9JD	160
3B9JG	160
3B9KB	160
3B9KF	160
3B9KS	160
3B9ME	161
3B9MQ	161
3B9MT	161
3B9MU	161
3B9NI	161
3B9NQ	161
3B9NY	160
3B9P0	160
3B9P2	161
3B9PE	160
3B9PK	160
3B9Q4	160
3B9R9	160
3B9RB	161
3B9RD	161
3B9RQ	160
3B9RR	161
3B9RU	161
3B9RZ	161
3B9S0	160
3B9ST	161
3B9SX	160
3B9SY	160
3B9U2	161
3B9UM	160
3B9UN	161
3B9UT	161
3B9UX	161
3B9VV	160
3B9W2	161
3B9WE	161
3B9WF	161
3B9WI	161
3B9X7	161
3B9X9	161
3B9XB	161
3B9XC	160
3B9XE	160
3B9XK	161
3B9Y1	160
3B9YN	160
3B9YV	160
3B9YW	160
3B9YX	160
3B9Z7	160
3B9ZI	160
3B9ZJ	160
3B9ZX	160
3BA00	160
3BA0A	160
3BA0C	161
3BA0G	160
3BA0S	161
3BA18	160
3BA19	161
3BA25	160
3BA27	161
3BA2W	161
3BA35	161
3BA3K	161
3BA3M	160
3BA3T	160
3BA3V	161
3BA3X	161
3BA42	160
3BA43	161
3BA44	160
3BA46	160
3BA48	160
3BA4T	160
3BA4Y	160
3BA50	161
3BA59	160
3BA61	161
3BA66	161
3BA6C	160
3BA6F	160
3BA6I	160
3BA6S	160
3BA6T	161
3BA6U	160
3BA76	160
3BA7B	161
3BA7S	161
3BA80	160
3BA82	160
3BA83	160
3BA87	160
3BA8H	160
3BA8I	160
3BA8R	160
3BA8V	161
3BA8W	160
3BA98	161
3BA9G	160
3BA9V	160
3BA9Y	160
3BAA0	160
3BAA7	161
3BAAA	160
3BAAR	161
3BAB9	160
3BABE	161
3BABF	160
3BABJ	160
3BABV	160
3BABX	160
3BACF	160
3BACQ	161
3BACR	161
3BADC	160
3BADM	161
3BADW	160
3BADZ	161
3BAE3	160
3BAEP	161
3BAEQ	161
3BAEX	160
3BAF3	160
3BAFB	161
3BAFR	161
3BAFT	161
3BAFZ	161
3BAG1	160
3BAGF	160
3BAGG	160
3BAGJ	160
3BAGN	160
3BAGP	160
3BAGS	160
3BAHV	160
3BAI6	161
3BAIB	160
3BAIE	161
3BAJ2	161
3BAJC	161
3BAJR	160
3BAJT	161
3BAK5	161
3BAKF	160
3BAKM	161
3BAMQ	160
3BAN4	161
3BANJ	161
3BAP0	160
3BAP5	160
3BAP7	160
3BAPM	160
3BAPV	161
3BAR6	160
3BAR9	161
3BARF	160
3BAS6	161
3BASE	160
3BASG	161
